"rider_type","month_num","month_name","total_rides","avg_ride_minutes"
casual,"01",January,23405,11.97
casual,"02",February,27004,12.38
casual,"03",March,82874,17.88
casual,"04",April,105272,18.65
casual,"05",May,175668,20.83
casual,"06",June,278733,21.91
casual,"07",July,308487,21.44
casual,"08",August,323566,21.71
casual,"09",September,254754,19.55
casual,"10",October,214407,18.09
casual,"11",November,94730,15.49
casual,"12",December,37361,13.84
member,"01",January,112341,9.98
member,"02",February,122109,9.96
member,"03",March,208469,11.13
member,"04",April,257932,11.27
member,"05",May,314018,11.9
member,"06",June,379544,12.85
member,"07",July,430431,13.15
member,"08",August,443169,13.08
member,"09",September,440990,12.62
member,"10",October,414135,12.12
member,"11",November,251939,11.68
member,"12",December,137574,10.61
